console,date,developer,genre,location,name,week_num,weekly_sales,year,month,week,weekday,total_tweets,year_of_release,time_difference,last_week_sales
3DS,30 Sep 2017,Level,Puzzle,USA,Layton s Mystery Journey Katrielle and the Millionaire s Conspiracy,1,6799,2017,10,40,6,0.0,2017-10-06 00:00:00,1.0,6799.0
3DS,31 Oct 2015,Nintendo,Action,USA,Legend of Zelda Triforce Heroes,3,19464,2015,11,44,6,0.0,2015-10-23 00:00:00,1.0,24083.0
X360,15 Feb 2014,Square,Role-Playing,USA,Lightning Returns Final Fantasy XIII,2,15516,2014,2,7,5,0.0,2014-02-11 00:00:00,0.0,31270.0
X360,15 Feb 2014,Square,Role-Playing,USA,Lightning Returns Final Fantasy XIII,2,15516,2014,3,11,6,0.0,2014-02-11 00:00:00,4.0,31270.0
PS4,28 May 2016,Sony Computer,Platform,USA,LittleBigPlanet 3,81,8142,2016,6,24,6,0.0,2014-11-18 00:00:00,82.0,5996.0
3DS,23 Mar 2013,Nintendo,Adventure,USA,Luigi s Mansion Dark Moon,1,270867,2013,4,14,6,0.0,2013-03-24 00:00:00,2.0,17672.0
PS3,23 Mar 2013,Sony Computer,Sports,USA,MLB 13 The Show,4,21436,2013,3,13,6,0.0,2013-03-05 00:00:00,3.0,220099.0
0,31 May 2014,0,0,USA,MLB 14 The Show,5,8724,2014,6,22,6,0.0,2014-04-01 00:00:00,8.0,21628.0
PS4,30 Apr 2016,Sony Computer,Action,USA,MLB 16 The Show,6,14521,2016,4,17,5,0.0,2011-03-08 00:00:00,268.0,18991.0
PS4,30 Apr 2016,Sony Computer,Action,USA,MLB 16 The Show,6,14521,2016,5,21,6,0.0,2011-03-08 00:00:00,272.0,18991.0
XOne,30 Aug 2014,Electronic,Sports,USA,Madden NFL 15,2,103310,2014,9,38,6,0.0,2014-08-26 00:00:00,3.0,93591.0
XOne,31 Oct 2015,Electronic,Sports,USA,Madden NFL 16,11,32002,2015,11,46,6,0.0,2005-08-08 00:00:00,535.0,22435.0
XOne,30 Sep 2017,Electronic,Sports,USA,Madden NFL 18,7,36221,2017,10,40,6,0.0,2007-08-14 00:00:00,529.0,594817.0
XOne,28 Dec 2013,Electronic,Sports,USA,Madden NFL 25,7,26491,2013,12,52,6,0.0,2011-08-30 00:00:00,121.0,23701.0
3DS,30 Nov 2013,Nintendo,Action,USA,Mario & Luigi Dream Team,17,46926,2013,11,48,5,0.0,2013-08-11 00:00:00,15.0,72082.0
3DS,30 Nov 2013,Nintendo,Action,USA,Mario & Luigi Dream Team,17,46926,2013,12,52,6,0.0,2013-08-11 00:00:00,19.0,72082.0
3DS,30 Jan 2016,Nintendo,Role-Playing,USA,Mario & Luigi Paper Jam,3,9674,2016,2,7,6,0.0,2016-01-22 00:00:00,4.0,22272.0
3DS,30 Sep 2017,Nintendo,Role-Playing,USA,Mario & Luigi Superstar Saga + Bowser s Minions,1,13446,2017,10,41,6,0.0,2017-10-06 00:00:00,2.0,9217.0
NS,30 Sep 2017,Ubisoft,Strategy,USA,Mario + Rabbids Kingdom Battle,6,12886,2017,10,40,6,0.0,2017-08-29 00:00:00,5.0,154476.0
3DS,26 Apr 2014,Nintendo,Action,USA,Mario Golf World Tour,1,27548,2014,4,17,6,0.0,2014-05-02 00:00:00,0.0,5717.0
3DS,28 May 2016,Nintendo,Racing,USA,Mario Kart 7,235,6773,2016,5,21,5,0.0,2011-12-04 00:00:00,233.0,8565.0
3DS,28 May 2016,Nintendo,Racing,USA,Mario Kart 7,235,6773,2016,6,25,6,0.0,2011-12-04 00:00:00,237.0,8565.0
WiiU,31 Oct 2015,Nintendo,Racing,USA,Mario Kart 8,76,25529,2015,11,47,6,0.0,2014-05-30 00:00:00,77.0,147385.0
NS,30 Sep 2017,Nintendo,Racing,USA,Mario Kart 8 Deluxe,24,16245,2017,10,41,6,20.0,2017-04-28 00:00:00,24.0,31442.0
3DS,04 Nov 2017,Nintendo,Misc,USA,Mario Party The Top 100,1,21505,2017,11,45,6,0.0,2017-11-10 00:00:00,1.0,21505.0
XOne,23 Sep 2017,Capcom,Fighting,USA,Marvel vs. Capcom Infinite,2,9037,2017,9,38,6,0.0,2017-09-19 00:00:00,0.0,18339.0
PS3,08 Jun 2013,Electronic,Role-Playing,USA,Mass Effect 3,67,7544,2013,6,23,5,0.0,2012-11-18 00:00:00,28.0,0.0
PS3,08 Jun 2013,Electronic,Role-Playing,USA,Mass Effect 3,67,7544,2013,7,27,6,0.0,2012-11-18 00:00:00,32.0,0.0
XOne,30 Sep 2017,Electronic,Role-Playing,USA,Mass Effect Andromeda,29,7038,2017,10,42,6,0.0,2017-03-21 00:00:00,30.0,7865.0
PS4,20 Feb 2016,Capcom,Platform,USA,Mega Man Legacy Collection,1,24044,2016,3,9,6,0.0,2006-01-10 00:00:00,529.0,59209.0
PSV,07 May 2016,Idea Factory,Action,USA,MegaTagmension Blanc + Neptune VS Zombies,1,12367,2016,5,19,6,0.0,2016-05-10 00:00:00,1.0,12367.0
XOne,29 Mar 2014,Konami Digital,Action,USA,Metal Gear Solid V Ground Zeroes,3,9781,2014,3,13,6,0.0,2014-03-18 00:00:00,1.0,25013.0
PS4,31 Oct 2015,Konami Digital,Action,USA,Metal Gear Solid V The Phantom Pain,10,35595,2015,10,44,5,0.0,2015-09-01 00:00:00,8.0,14195.0
PS4,31 Oct 2015,Konami Digital,Action,USA,Metal Gear Solid V The Phantom Pain,10,35595,2015,11,48,6,0.0,2015-09-01 00:00:00,12.0,14195.0
3DS,30 Sep 2017,Nintendo,Action-Adventure,USA,Metroid Samus Returns,4,7560,2017,10,42,6,0.0,2017-09-15 00:00:00,5.0,9936.0
0,28 Oct 2017,0,0,USA,Middle-Earth Shadow of War,4,26854,2017,11,45,6,158.0,2017-10-10 00:00:00,4.0,31816.0
3DS,04 Nov 2017,Nintendo,Misc,USA,Minecraft,1,22298,2017,11,45,6,0.0,2017-11-10 00:00:00,1.0,22298.0
X360,26 Dec 2015,Mojang,Adventure,USA,Minecraft Story Mode,10,21935,2015,12,52,6,0.0,2015-10-27 00:00:00,8.0,16132.0
WiiU,23 Mar 2013,Capcom,Role-Playing,USA,Monster Hunter 3 Ultimate,2,12844,2013,3,12,5,0.0,2013-03-19 00:00:00,0.0,18235.0
WiiU,23 Mar 2013,Capcom,Role-Playing,USA,Monster Hunter 3 Ultimate,2,12844,2013,4,16,6,0.0,2013-03-19 00:00:00,4.0,18235.0
XOne,27 Jan 2018,Capcom,Action,USA,Monster Hunter World,2,73315,2018,2,7,6,1500.0,2018-01-26 00:00:00,3.0,118225.0
XOne,31 May 2014,Square,Action,USA,Murdered Soul Suspect,1,22531,2014,6,24,6,0.0,2014-06-03 00:00:00,2.0,12834.0
PS4,16 Sep 2017,Electronic,Sports,USA,NBA Live 18,2,6468,2017,9,38,6,0.0,2017-09-15 00:00:00,1.0,27086.0
XOne,27 Feb 2016,Namco Bandai,Fighting,USA,Naruto Shippuden Ultimate Ninja Storm 4,4,13770,2016,2,8,6,0.0,2009-11-27 00:00:00,326.0,28402.0
XOne,31 Oct 2015,Electronic,Racing,USA,Need for Speed 2015,1,76954,2015,10,44,5,0.0,2015-11-03 00:00:00,0.0,138738.0
XOne,31 Oct 2015,Electronic,Racing,USA,Need for Speed 2015,1,76954,2015,11,48,6,0.0,2015-11-03 00:00:00,4.0,138738.0
XOne,30 Dec 2017,Electronic,Racing,USA,Need for Speed Payback,9,11154,2018,1,3,6,3500.0,2017-11-10 00:00:00,10.0,13051.0
XOne,16 Nov 2013,Electronic,Racing,USA,Need for Speed Rivals,1,53324,2013,12,48,6,0.0,2013-11-19 00:00:00,2.0,0.0
