,0,1
1063,PK,Asia
1064,PK,Asia
1065,US,North America
1066,US,North America
1067,US,North America
1068,US,North America
1069,US,North America
1070,US,North America
1071,US,North America
1072,,
1073,US,North America
1074,US,North America
1075,PK,Asia
1076,US,North America
1077,US,North America
1078,US,North America
1079,US,North America
1080,US,North America
1081,US,North America
1082,US,North America
1083,US,North America
1084,US,North America
1085,US,North America
1086,US,North America
1087,US,North America
1088,US,North America
1089,PK,Asia
1090,CA,North America
1091,US,North America
1092,US,North America
1093,US,North America
1094,US,North America
1095,US,North America
1096,PK,Asia
1097,GB,Europe
1098,PK,Asia
1099,US,North America
1100,US,North America
1101,US,North America
1102,US,North America
1103,US,North America
1104,US,North America
1105,US,North America
1106,IN,Asia
1107,US,North America
1108,US,North America
1109,US,North America
1110,US,North America
1111,US,North America
1112,US,North America
1113,US,North America
1114,US,North America
1115,US,North America
1116,US,North America
1117,US,North America
1118,US,North America
1119,IN,Asia
1120,US,North America
1121,US,North America
1122,US,North America
1123,US,North America
1124,US,North America
1125,US,North America
1126,US,North America
1127,US,North America
1128,US,North America
1129,US,North America
1130,US,North America
1131,US,North America
1132,US,North America
1133,US,North America
1134,US,North America
1135,CA,North America
1136,US,North America
1137,CA,North America
1138,US,North America
1139,US,North America
1140,US,North America
1141,US,North America
1142,US,North America
1143,US,North America
1144,US,North America
1145,US,North America
1146,US,North America
1147,US,North America
1148,US,North America
1149,US,North America
1150,US,North America
1151,PK,Asia
1152,US,North America
1153,US,North America
1154,US,North America
1155,US,North America
1156,US,North America
1157,US,North America
1158,US,North America
1159,US,North America
1160,US,North America
1161,US,North America
1162,US,North America
1163,US,North America
1164,IN,Asia
1165,US,North America
1166,US,North America
1167,US,North America
1168,US,North America
1169,US,North America
1170,US,North America
1171,US,North America
1172,US,North America
1173,,
1174,US,North America
1175,US,North America
1176,CA,North America
1177,US,North America
1178,US,North America
1179,CA,North America
1180,US,North America
1181,US,North America
1182,US,North America
1183,US,North America
1184,US,North America
1185,US,North America
1186,US,North America
1187,US,North America
1188,US,North America
1189,US,North America
1190,US,North America
1191,US,North America
1192,US,North America
1193,US,North America
1194,US,North America
1195,US,North America
1196,US,North America
1197,US,North America
1198,US,North America
1199,US,North America
1200,US,North America
1201,IN,Asia
1202,US,North America
1203,US,North America
1204,US,North America
1205,US,North America
1206,US,North America
1207,US,North America
1208,US,North America
1209,US,North America
1210,US,North America
1211,US,North America
1212,US,North America
1213,US,North America
1214,IN,Asia
1215,US,North America
1216,US,North America
1217,US,North America
1218,US,North America
1219,US,North America
1220,US,North America
1221,US,North America
1222,US,North America
1223,US,North America
1224,US,North America
1225,US,North America
1226,US,North America
1227,US,North America
1228,US,North America
1229,US,North America
1230,US,North America
1231,US,North America
1232,US,North America
1233,US,North America
1234,US,North America
1235,US,North America
1236,US,North America
1237,US,North America
1238,US,North America
1239,IN,Asia
1240,US,North America
1241,US,North America
1242,US,North America
1243,US,North America
1244,US,North America
1245,US,North America
1246,US,North America
1247,US,North America
1248,US,North America
1249,US,North America
1250,US,North America
1251,US,North America
1252,US,North America
1253,US,North America
1254,US,North America
1255,US,North America
1256,US,North America
1257,US,North America
1258,PK,Asia
1259,US,North America
1260,US,North America
1261,PK,Asia
1262,US,North America
1263,US,North America
1264,US,North America
1265,US,North America
1266,IN,Asia
1267,US,North America
1268,US,North America
1269,US,North America
1270,US,North America
1271,US,North America
1272,US,North America
1273,US,North America
1274,US,North America
1275,US,North America
1276,US,North America
1277,PK,Asia
1278,US,North America
1279,US,North America
1280,US,North America
1281,PK,Asia
1282,US,North America
1283,PK,Asia
1284,US,North America
1285,US,North America
1286,US,North America
1287,US,North America
1288,US,North America
1289,US,North America
1290,US,North America
1291,US,North America
1292,PK,Asia
1293,US,North America
1294,US,North America
1295,US,North America
1296,US,North America
1297,IN,Asia
1298,PK,Asia
1299,US,North America
1300,US,North America
1301,RO,Europe
1302,US,North America
1303,IN,Asia
