,Name,Platform,Publisher,Chartz_Score,User_Score,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year_of_Release,Genre
3769, Bolt     ,Disney Interactive Studios  ,Avalanche Software  ,,,,0.56,0.19,0.31,,0.06,18 Nov 08  ,
3770, Need for Speed: Most Wanted     ,Electronic Arts  ,EA Canada  ,,8.3  ,,0.56,0.43,0.11,,0.02,15 Nov 05  ,Racing
3771, NASCAR Rumble     ,Electronic Arts  ,Electronic Arts  ,,,,0.56,0.31,0.21,,0.04,31 Jan 00  ,Racing
3772, WWE Raw 2     ,THQ  ,"Anchor,�Inc.  ",,,,0.56,0.43,0.11,,0.02,16 Sep 03  ,Fighting
3773, Mega Man X2     ,Capcom  ,Capcom  ,,,,0.56,0.09,0.02,0.45,0.00,01 Jan 94  ,Platform
3774, Resident Evil 2     ,Capcom  ,Angel Studios  ,,9.0  ,,0.56,0.39,0.09,0.07,0.01,31 Oct 99  ,Action
3775, Manhunt 2     ,Rockstar Games  ,Rockstar London  ,,,,0.56,0.27,0.21,,0.07,29 Oct 07  ,Action
3776, Fullmetal Alchemist and the Broken Angel     ,Square Enix  ,Racjin  ,,,,0.56,0.15,0.12,0.26,0.04,18 Jan 05  ,Role-Playing
3777, Assassin's Creed: Unity     ,Ubisoft  ,Ubisoft Montreal  ,,,,0.56,0.20,0.31,,0.04,11 Nov 14  ,Misc
3778, Bravely Second: End Layer     ,Nintendo  ,Silicon Studio  ,,,,0.56,0.22,0.11,0.20,0.03,15 Apr 16  ,Role-Playing
3779, WWE 2K17     ,2K Games  ,Yuke's  ,,,,0.56,0.26,0.26,,0.05,11 Oct 16  ,Sports
3780, Wolfenstein     ,Activision  ,Raven Software  ,,7.3  ,,0.56,0.28,0.22,,0.06,18 Aug 09  ,Shooter
3781, Dogz     ,Ubisoft  ,MTO  ,,,,0.56,0.50,0.01,,0.04,22 Nov 06  ,
3782, Hamtaro: Ham-Hams Unite!     ,Nintendo  ,Shogakukan  ,,,,0.56,,,0.56,0.00,28 Oct 02  ,Sports
3783, Batman Begins     ,Electronic Arts  ,Eurocom Entertainment Software  ,,,,0.56,0.27,0.21,,0.07,14 Jun 05  ,Action
3784, Dr. Seuss' The Cat in the Hat      ,VU Games  ,Magenta Software  ,,,,0.56,0.27,0.21,,0.07,05 Nov 03  ,Platform
3785, Tony Hawk's Proving Ground     ,Activision  ,Neversoft Entertainment  ,,7.2  ,,0.56,0.49,0.02,,0.04,15 Oct 07  ,Sports
3786, Barbie Groovy Games     ,Universal Interactive  ,Digital Illusions (DICE)  ,,3.0  ,,0.56,0.40,0.15,,0.01,04 Sep 02  ,Action
3787, Archer Maclean's Mercury     ,Ignition Entertainment  ,Awesome Studios  ,,7.7  ,,0.56,0.17,0.24,,0.15,06 Apr 05  ,Puzzle
3788, Yu-Gi-Oh! Reshef of Destruction     ,Konami  ,Konami  ,,,,0.56,0.40,0.15,,0.01,29 Jun 04  ,Strategy
3789, Blinx: The Time Sweeper     ,Microsoft  ,Artoon  ,,6.8  ,,0.56,0.39,0.15,,0.02,07 Oct 02  ,Platform
3790, Need for Speed: Payback     ,Electronic Arts  ,Ghost Games  ,,5.9  ,,0.56,0.30,0.21,,0.05,10 Nov 17  ,Racing
3791, ESPN NFL Football     ,Sega  ,Visual Concepts  ,,,,0.56,0.27,0.21,,0.07,03 Sep 03  ,Sports
3792, Fatal Fury Special     ,Takara  ,Takara  ,,,,0.56,,,0.56,,01 Apr 95  ,Fighting
3793, Major League Baseball 2K5     ,2K Sports  ,Kush Games  ,,,,0.56,0.52,0.02,,0.02,23 Feb 05  ,Sports
3794, DS Bimoji Training     ,Nintendo  ,Nuevo Retro Games / NST  ,,,,0.56,,,0.56,,13 Mar 08  ,Misc
3795, Enslaved: Odyssey to the West     ,Namco Bandai  ,Ninja Theory  ,,7.9  ,,0.56,0.24,0.23,0.01,0.08,05 Oct 10  ,Action
3796, Dora The Explorer: Dora Saves the Snow Princess     ,2K Play  ,High Voltage Software  ,,,,0.56,0.49,0.02,,0.04,27 Oct 08  ,Platform
3797, No More Heroes     ,Ubisoft  ,Grasshopper Manufacture  ,,8.2  ,8.3  ,0.56,0.29,0.17,0.04,0.05,22 Jan 08  ,Action
3798, Soldier of Fortune: Gold Edition     ,Majesco  ,Pipe Dream Interactive  ,,,,0.56,0.27,0.21,,0.07,11 Nov 01  ,Shooter
3799, WWE 2K16     ,Take-Two Interactive  ,Yuke's  ,,,,0.56,0.24,0.23,,0.09,27 Oct 15  ,Sports
3800, MX 2002 Featuring Ricky Carmichael     ,THQ  ,Pacific Coast Power & Light  ,,8.0  ,,0.56,0.27,0.21,,0.07,03 Jul 01  ,Racing
3801, Frontlines: Fuel of War     ,THQ  ,Kaos Studios  ,,,,0.56,0.34,0.15,0.01,0.05,25 Feb 08  ,Shooter
3802, NCAA Football 07     ,EA Sports  ,EA Sports  ,,8.8  ,,0.56,0.42,0.12,,0.01,18 Jul 06  ,Sports
3803, World of Final Fantasy     ,Square Enix  ,Square Enix  ,,,,0.56,0.18,0.20,0.09,0.08,25 Oct 16  ,Role-Playing
3804, Lunar: Silver Star Story Complete     ,Working Designs  ,Game Arts  ,,7.6  ,,0.55,0.27,0.18,0.06,0.04,28 May 99  ,Role-Playing
3805, Disney Infinity 3.0     ,Disney Interactive Studios  ,Avalanche Software  ,,,,0.55,0.22,0.25,,0.09,30 Aug 15  ,Action
3806, Xenoblade Chronicles     ,Nintendo  ,Monolith Soft  ,,,,0.55,0.24,0.15,0.13,0.04,10 Apr 15  ,Role-Playing
3807, NBA Showtime: NBA on NBC     ,Midway Games  ,Eurocom Entertainment Software  ,,,,0.55,0.31,0.21,,0.04,31 Oct 99  ,Sports
3808, Rayman Origins     ,Ubisoft  ,Ubisoft  ,,9.5  ,,0.55,0.21,0.28,,0.06,15 Nov 11  ,Platform
3809, Soul Reaver 2     ,Eidos Interactive  ,Crystal Dynamics  ,,,,0.55,0.27,0.21,,0.07,31 Oct 01  ,Adventure
3810, Metal Gear Solid 3: Subsistence     ,Konami  ,Kojima Productions  ,,9.4  ,,0.55,0.34,0.01,0.15,0.06,14 Mar 06  ,Action
3811, The Godfather (old US sales)     ,Electronic Arts  ,Headgate  ,,,,0.55,0.42,0.11,,0.02,21 Mar 06  ,Action
3812, Daytona USA     ,Sega  ,Sega-AM2  ,,,,0.55,,,0.55,,11 May 95  ,Racing
3813, Lords of the Fallen     ,Namco Bandai Games  ,Unknown  ,,,,0.55,0.20,0.24,0.02,0.09,28 Oct 14  ,Misc
3814, WWF Raw (2002)     ,THQ  ,Anchor  ,,6.5  ,,0.55,0.40,0.13,,0.02,11 Feb 02  ,Fighting
3815, Shin Super Robot Taisen     ,Banpresto  ,Winky Soft  ,,,,0.55,,,0.52,0.04,27 Dec 96  ,Strategy
3816, Catz     ,Ubisoft  ,Powerhead Games  ,,,,0.55,0.49,0.02,,0.04,30 Nov 06  ,
3817, Ratchet & Clank: Quest for Booty     ,Sony Computer Entertainment  ,Insomniac Games  ,,7.6  ,,0.55,0.00,0.52,,0.03,12 Sep 08  ,Platform
3818, Jump Super Stars     ,Nintendo  ,Ganbarion  ,,,,0.55,,,0.55,,08 Aug 05  ,Fighting
3819, Inazuma Eleven GO: Dark / Shine     ,Level 5  ,Level 5  ,,,,0.55,,0.07,0.48,0.00,15 Dec 11  ,Misc
3820, MX vs. ATV: Alive     ,THQ  ,Rainbow Studios  ,,6.9  ,,0.55,0.37,0.13,,0.05,10 May 11  ,Racing
3821, The Activision Decathlon     ,Activision  ,Activision  ,,,,0.55,0.52,0.03,,0.01,01 Jan 83  ,Sports
3822, Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~     ,D3 Publisher  ,Taito Corporation  ,,,,0.55,0.31,0.21,,0.04,27 Sep 01  ,Shooter
3823, Fighting Force 2     ,Eidos Interactive  ,Core Design Ltd.  ,,,,0.55,0.31,0.21,,0.04,30 Nov 99  ,Action
3824, Sakura Wars     ,Sega  ,Overworks  ,,,,0.55,,,0.55,,27 Sep 96  ,Adventure
3825, Extermination     ,Sony Computer Entertainment  ,Deep Space  ,,,,0.55,0.21,0.16,0.12,0.05,23 Jul 01  ,Action
3826, WWE 2K18     ,2K Sports  ,Yuke's  ,,,,0.55,0.29,0.21,,0.05,17 Oct 17  ,Sports
3827, Batman: Vengeance     ,Ubisoft  ,Ubisoft Montreal  ,,7.1  ,,0.55,0.27,0.21,,0.07,15 Oct 01  ,Action
3828, Rapala Tournament Fishing!     ,Activision  ,Magic Wand Productions  ,,,,0.55,0.51,0.00,,0.04,22 Nov 06  ,Sports
3829, Secret Agent Clank(US sales)     ,Sony Computer Entertainment  ,High Impact Games  ,7.0  ,7.2  ,,0.55,0.33,0.22,,,17 Jun 08  ,Platform
3830, Madagascar: Escape 2 Africa     ,Activision  ,Toys for Bob  ,,,,0.55,0.31,0.18,,0.06,04 Nov 08  ,Action
3831, Derby Stallion 04     ,Enterbrain  ,ParityBit  ,,,,0.55,,,0.55,,22 Apr 04  ,Sports
3832, NBA 2K8     ,2K Sports  ,Visual Concepts  ,,,,0.55,0.50,0.01,,0.05,02 Oct 07  ,Sports
3833, Purr Pals     ,Crave Entertainment  ,inXile  ,,,,0.55,0.18,0.35,,0.02,27 Mar 07  ,Simulation
3834, Tony Hawk's Pro Skater 3     ,Activision  ,Neversoft Entertainment  ,,,,0.55,0.34,0.18,,0.02,04 Mar 02  ,Sports
3835, Mega Man Zero     ,Capcom  ,Inti Creates  ,,,,0.55,0.22,0.08,0.24,0.01,09 Sep 02  ,Sports
3836, Contender 2     ,BAM! Entertainment  ,Bam Entertainment  ,,,,0.55,0.31,0.21,,0.04,19 Dec 00  ,Fighting
3837, Star Wars: Dark Forces     ,LucasArts  ,LucasArts  ,,,,0.55,0.31,0.21,,0.04,30 Nov 96  ,Shooter
3838, Grease     ,505 Games  ,Zoe Mode  ,,,,0.55,0.26,0.24,,0.05,24 Aug 10  ,Misc
3839, Tiger Woods PGA Tour 13     ,Electronic Arts  ,Electronic Arts  ,,,,0.55,0.24,0.22,,0.08,27 Mar 12  ,Sports
3840, Legends of WrestleMania     ,THQ  ,Yuke's  ,7.0  ,,,0.55,0.30,0.17,0.00,0.07,24 Mar 09  ,
3841, SD Gundam G Generation Zero     ,Bandai  ,Bandai  ,,,,0.55,,,0.51,0.04,12 Aug 99  ,Strategy
3842, Kingdom Hearts: Final Mix     ,Square  ,SquareSoft  ,,,,0.55,,,0.55,,26 Dec 02  ,Role-Playing
3843, Super Robot Taisen F     ,Banpresto  ,Banpresto  ,,,,0.55,,,0.55,0.00,25 Sep 97  ,Strategy
3844, Spec Ops: The Line     ,2K Games  ,yager Development  ,,,,0.55,0.19,0.24,0.04,0.07,26 Jun 12  ,Shooter
3845, Shrek 2     ,Activision  ,"Luxoflux, Inc.  ",,6.7  ,,0.55,0.40,0.13,,0.02,28 Apr 04  ,Platform
3846, Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!     ,Sega  ,Smilebit  ,,,,0.55,,,0.55,,07 Mar 02  ,Sports
3847, Disgaea 3: Absence of Justice     ,NIS America  ,Nippon Ichi Software  ,8.2  ,7.8  ,,0.55,0.35,0.03,0.11,0.05,26 Aug 08  ,Role-Playing
3848, Monster Jam: Path of Destruction     ,Activision  ,Virtuos  ,,,,0.55,0.49,0.02,,0.04,09 Nov 10  ,Racing
3849, SpongeBob SquarePants: SuperSponge     ,THQ  ,Climax Group  ,,,,0.55,0.39,0.15,,0.01,05 Nov 01  ,Action
3850, Super Robot Taisen F Kanketsuhen     ,Banpresto  ,Banpresto  ,,,,0.55,,,0.55,0.00,23 Apr 98  ,Strategy
3851, ZhuZhu Pets 2: Featuring The Wild Bunch     ,Activision  ,Black Lantern Studios  ,,,,0.55,0.40,0.11,,0.04,19 Oct 10  ,Simulation
3852, Donkey Kong Jungle Climber     ,Nintendo  ,Paon Corporation  ,,7.8  ,,0.55,0.25,0.03,0.24,0.03,10 Sep 07  ,Platform
3853, Tak and the Power of Juju     ,THQ  ,Avalanche Software  ,,,,0.55,0.39,0.15,,0.01,15 Oct 03  ,Platform
3854, Lips: Number One Hits     ,Microsoft  ,iNiS  ,,,,0.55,0.15,0.34,,0.06,20 Oct 09  ,Misc
3855, Mortal Kombat 3     ,Sony Computer Entertainment  ,Midway Games  ,,,,0.55,0.29,0.20,0.02,0.04,07 Oct 95  ,Fighting
3856, Petz Catz Clan     ,Ubisoft  ,Ubisoft  ,,5.0  ,,0.55,0.47,0.03,,0.04,18 Nov 08  ,Simulation
3857, Wolfenstein II: The New Colossus     ,Bethesda Softworks  ,MachineGames  ,,,,0.55,0.32,0.18,,0.05,27 Oct 17  ,Shooter
3858, Turok: Evolution     ,Acclaim Entertainment  ,Acclaim Studios Austin  ,,,,0.55,0.39,0.14,,0.02,31 Aug 02  ,Shooter
3859, Jak X: Combat Racing     ,Sony Computer Entertainment  ,Naughty Dog  ,,,,0.55,0.45,0.02,,0.07,18 Oct 05  ,Racing
3860, Viva Pinata: Pocket Paradise     ,THQ  ,Rare Ltd.  ,,8.1  ,,0.55,0.26,0.23,,0.06,08 Sep 08  ,Misc
3861, American Idol     ,Codemasters  ,Hothouse Creations  ,,,,0.55,0.27,0.21,,0.07,11 Nov 03  ,Misc
3862, Top Gun: Fire at Will!     ,Spectrum Holobyte  ,MicroProse  ,,,,0.55,0.30,0.21,,0.04,01 Jun 96  ,Misc
3863, Barbie Horse Adventures: Riding Camp     ,Activision  ,Pixel Tales  ,,,,0.55,0.50,0.00,,0.04,21 Oct 08  ,Sports
3864, Red Dead Revolver     ,Rockstar Games  ,Rockstar San Diego  ,,,,0.55,0.40,0.12,,0.02,03 May 04  ,Shooter
3865, CrossworDS      ,Nintendo  ,Nuevo Retro Games / NST  ,,,,0.55,0.50,0.00,,0.04,05 May 08  ,Puzzle
3866, ModNation Racers     ,Sony Computer Entertainment  ,SCE San Diego Studio  ,,7.7  ,,0.54,0.11,0.27,0.02,0.14,25 May 10  ,Racing
3867, Dynasty Warriors: Gundam 3     ,Tecmo Koei  ,Omega Force  ,,6.5  ,,0.54,0.11,0.05,0.36,0.02,28 Jun 11  ,Action
3868, Iron Man     ,Sega  ,Artificial Mind and Movement  ,,,,0.54,0.36,0.00,,0.19,02 May 08  ,Action
3869, SingStar Summer Party     ,Sony Computer Entertainment  ,SCEE London Studio  ,,,,0.54,,0.06,,0.48,25 Apr 08  ,Misc
3870, NHL 14     ,EA Sports  ,Unknown  ,,,,0.54,0.40,0.09,,0.05,10 Sep 13  ,Misc
3871, The SpongeBob SquarePants Movie     ,THQ  ,Heavy Iron Studios  ,,6.8  ,,0.54,0.40,0.12,,0.02,27 Oct 04  ,Platform
3872, Dragon Ball Z: Shin Budokai     ,Atari  ,Dimps Corporation  ,,7.4  ,,0.54,0.26,0.08,0.13,0.07,07 Mar 06  ,Fighting
3873, FIFA 07 Soccer     ,EA Sports  ,EA Canada  ,,8.1  ,,0.54,0.16,0.35,,0.04,03 Oct 06  ,Sports
3874, Gekikuukan Pro Yakyuu: At the End of the Century 1999     ,Square  ,SquareSoft  ,,,,0.54,,,0.54,,07 Sep 00  ,Sports
3875, Are You Smarter than a 5th Grader? Make the Grade     ,THQ  ,THQ  ,,,,0.54,0.50,,,0.04,20 Oct 08  ,Misc
3876, Tiger Woods PGA Tour 08     ,Electronic Arts  ,EA Tiburon  ,,,,0.54,0.49,0.02,,0.04,28 Aug 07  ,Sports
3877, Medarot 2: Kabuto / Kuwagata Version     ,Imagineer  ,Natsume  ,,,,0.54,,,0.54,0.00,23 Jul 99  ,Role-Playing
3878, Bulletstorm     ,Electronic Arts  ,People Can Fly  ,,8.4  ,,0.54,0.24,0.20,0.01,0.09,22 Feb 11  ,Shooter
3879, Skylanders: SuperChargers     ,Activision  ,Vicarious Visions  ,,,,0.54,0.34,0.15,,0.05,20 Sep 15  ,Action-Adventure
3880, Dance Dance Revolution Ultramix     ,Konami  ,Konami Computer Entertainment Hawaii  ,,,,0.54,0.42,0.11,,0.02,20 Nov 03  ,Simulation
3881, F.E.A.R.     ,Vivendi Games  ,Day 1 Studios  ,,,,0.54,0.18,0.27,,0.09,24 Apr 07  ,Shooter
3882, Crash Tag Team Racing     ,VU Games  ,Radical Entertainment  ,,,,0.54,0.27,0.21,,0.07,19 Oct 05  ,Racing
3883, Enslaved: Odyssey to the West     ,Namco Bandai  ,Ninja Theory  ,,8.0  ,,0.54,0.30,0.19,0.00,0.05,05 Oct 10  ,Action
3884, Front Mission 4     ,Square Enix  ,Square Enix  ,,,,0.54,0.14,0.11,0.25,0.04,15 Jun 04  ,Strategy
3885, The Fairly Odd Parents: Breakin' Da Rules     ,THQ  ,Helixe  ,,,,0.54,0.39,0.14,,0.01,03 Nov 03  ,Platform
3886, Tiger Woods PGA Tour 11     ,EA Sports  ,EA Tiburon  ,,8.3  ,,0.54,0.23,0.26,,0.05,08 Jun 10  ,Sports
3887, NBA Live 10     ,EA Sports  ,EA Canada  ,,7.9  ,,0.54,0.46,0.03,0.01,0.05,06 Oct 09  ,Sports
3888, Mega Man Battle Network 2     ,Capcom  ,Capcom  ,,,,0.54,,,0.54,,17 Jun 02  ,Role-Playing
3889, Ninokuni: Shikkoku no Madoushi     ,Level 5  ,Level 5/Studio Ghibli  ,,,,0.54,,,0.54,,09 Dec 10  ,Role-Playing
3890, Rock Band 4     ,Harmonix Music Systems  ,Harmonix Music Systems  ,,,,0.54,0.39,0.05,,0.10,06 Oct 15  ,Misc
3891, Hotel Dusk: Room 215     ,Nintendo  ,Cing  ,,8.0  ,6.9  ,0.54,0.26,0.04,0.22,0.03,22 Jan 07  ,Adventure
3892, LEGO Worlds     ,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,,0.54,0.19,0.31,,0.04,07 Mar 17  ,Misc
3893, Assassin's Creed II     ,Ubisoft  ,Ubisoft Montreal  ,,8.5  ,,0.54,0.01,0.45,,0.07,09 Mar 10  ,Platform
3894, Just Dance 2015     ,Ubisoft  ,Ubisoft Paris  ,,8.1  ,,0.54,0.36,0.13,,0.05,21 Oct 14  ,Music
3895, SRS: Street Racing Syndicate     ,Namco  ,Eutechnyx  ,,,,0.54,0.26,0.21,,0.07,31 Aug 04  ,Racing
3896, System 3 presents Ferrari Challenge Trofeo Pirelli     ,Activision  ,Eutechnyx  ,,,,0.54,0.07,0.40,,0.07,26 Aug 08  ,Racing
3897, Disney Infinity 3.0     ,Disney Interactive Studios  ,Avalanche Software  ,,,,0.54,0.27,0.23,,0.05,30 Aug 15  ,Action
3898, Phineas and Ferb: Across the 2nd Dimension     ,Disney Interactive Studios  ,Altron  ,,,,0.54,0.31,0.18,,0.05,02 Aug 11  ,Action
3899, Let's Draw!     ,Majesco  ,Agatsuma Entertainment  ,,,,0.54,0.24,0.24,,0.06,16 Mar 10  ,Misc
3900, Disney Infinity 2.0: Marvel Super Heroes     ,Disney Interactive Studios  ,Avalanche Software  ,,,,0.54,0.34,0.15,,0.05,23 Sep 14  ,Action-Adventure
3901, Dragon Ball Z: Ultimate Tenkaichi     ,Namco Bandai  ,Spike  ,,6.0  ,,0.54,0.39,0.10,0.01,0.05,25 Oct 11  ,Fighting
3902, Def Jam: Fight for NY     ,Electronic Arts  ,Aki Corp.  ,,,,0.54,0.43,0.10,,0.02,20 Sep 04  ,Action
3903, Action Force     ,CPG Products  ,Parker Bros.  ,,,,0.54,0.50,0.03,,0.01,01 Jan 83  ,Action
3904, Valkyria Chronicles II     ,Sega  ,Sega WOW Overworks  ,,8.1  ,,0.54,0.12,0.16,0.18,0.09,31 Aug 10  ,Role-Playing
3905, FIFA 99     ,EA Sports  ,EA Canada  ,,,,0.54,0.11,0.39,,0.03,30 Nov 98  ,Sports
3906, Gauntlet Legends     ,Midway Games  ,Atari Games  ,,6.0  ,,0.54,0.43,0.10,,0.01,31 Aug 99  ,Action
3907, Kidou Senshi Gundam: Extreme VS     ,Bandai  ,Bandai Namco Games  ,,,,0.54,,,0.54,,01 Dec 11  ,Strategy
3908, Bust A Groove     ,989 Studios  ,Metro  ,,7.7  ,,0.54,0.09,0.06,0.35,0.04,31 Oct 98  ,Misc
3909, Fire Emblem: Path of Radiance     ,Nintendo  ,Intelligent Systems  ,,8.6  ,,0.54,0.29,0.08,0.16,0.01,17 Oct 05  ,Strategy
3910, Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon     ,Enix  ,ChunSoft  ,,,,0.54,,,0.54,,31 Oct 02  ,Role-Playing
3911, Pachi-Slot Aruze Oukoku 2     ,Aruze Corp  ,Aruze Corp  ,,,,0.54,,,0.50,0.04,25 Nov 99  ,Misc
3912, Monster High: Ghoul Spirit     ,THQ  ,THQ  ,,,,0.54,0.42,0.08,,0.04,25 Oct 11  ,Adventure
3913, METRO 2033     ,THQ  ,4a-games  ,7.7  ,7.4  ,,0.54,0.22,0.23,0.03,0.05,16 Mar 10  ,
3914, Petz Nursery     ,Ubisoft  ,Ubi Nagoya  ,,,,0.54,0.50,0.00,,0.04,10 Nov 09  ,Simulation
3915, Tactics Ogre: Let Us Cling Together     ,Square Enix  ,Square Enix  ,,9.0  ,,0.54,0.15,0.07,0.27,0.05,15 Feb 11  ,Role-Playing
3916, Tales of Symphonia Chronicles     ,Namco Bandai Games  ,Namco  ,,,,0.54,0.21,0.13,0.13,0.07,25 Feb 14  ,Misc
3917, Two Worlds II     ,SouthPeak Interactive  ,Reality Pump  ,,6.5  ,,0.54,0.40,0.07,0.03,0.04,25 Jan 11  ,Role-Playing
3918, Bratz: Rock Angelz     ,THQ  ,Blitz Games  ,,,,0.54,0.39,0.14,,0.01,01 Jan 05  ,Misc
3919, Yakuza Zero     ,Sega  ,Sega  ,,,,0.54,0.14,0.15,0.19,0.06,24 Jan 17  ,Adventure
3920, 50 Classic Games     ,Destineer  ,cerasus.media GmbH  ,,,,0.54,0.50,,,0.04,21 Jul 09  ,Misc
3921, SSX Tricky     ,EA Sports BIG   ,EA Canada  ,,8.4  ,,0.54,0.42,0.11,,0.01,02 Dec 01  ,Sports
3922, The Walking Dead: Survival Instinct     ,Activision  ,Terminal Reality  ,,,,0.54,0.28,0.17,,0.09,19 Mar 13  ,Shooter
3923, Greg Hastings' Tournament Paintball     ,Activision  ,WXP  ,,,,0.54,0.46,0.06,,0.02,16 Nov 04  ,Shooter
3924, Harry Potter and the Deathly Hallows - Part 1     ,Electronic Arts  ,EA Bright Light  ,,,,0.54,0.22,0.27,,0.05,09 Nov 10  ,Action
3925, Summer Sports: Paradise Island     ,Destineer  ,Digital Embryo  ,,,,0.54,0.48,0.02,,0.04,15 Apr 08  ,Sports
3926, Sacred 2: Fallen Angel     ,CDV Software Entertainment  ,Ascaron Entertainment  ,,7.0  ,,0.54,0.29,0.16,0.04,0.05,11 May 09  ,Role-Playing
3927, World Soccer Winning Eleven 7 International (JP version)     ,Konami  ,Konami Computer Entertainment Tokyo  ,,,,0.54,,,0.54,,19 Feb 04  ,Sports
3928, ESPN NBA Basketball     ,Sega  ,Visual Concepts  ,,,,0.54,0.26,0.21,,0.07,21 Oct 03  ,Sports
3929, The Sims 3: Pets     ,Electronic Arts  ,The Sims Studio  ,,7.5  ,,0.54,0.54,0.00,,,18 Oct 11  ,Misc
3930, Time Crisis: Razing Storm     ,Namco Bandai  ,Nex Entertainment  ,,5.8  ,,0.54,0.18,0.21,0.07,0.08,19 Oct 10  ,Shooter
3931, Over the Hedge     ,Activision  ,Edge of Reality  ,,6.5  ,,0.54,0.45,0.02,,0.07,09 May 06  ,Platform
3932, Mat Hoffman's Pro BMX     ,Activision  ,Shaba Games  ,,,,0.54,0.30,0.20,,0.04,14 May 01  ,Sports
3933, Popeye     ,Parker Bros.  ,Parker Bros.  ,,,,0.54,0.50,0.03,,0.01,01 Jan 83  ,Platform
3934, Tatsunoko vs. Capcom: Ultimate All-Stars     ,Capcom  ,Eighting  ,,8.3  ,,0.54,0.30,0.16,0.03,0.05,26 Jan 10  ,Fighting
3935, The Hobbit     ,Sierra Entertainment  ,Midway Studios - Austin  ,,,,0.54,0.26,0.20,,0.07,11 Nov 03  ,Adventure
3936, Manhunt 2     ,Rockstar Games  ,Rockstar Toronto  ,,5.8  ,,0.54,0.25,0.23,,0.06,29 Oct 07  ,Action
3937, War of the Monsters     ,Sony Computer Entertainment  ,Incognito Entertainment  ,,,,0.54,0.26,0.20,,0.07,14 Jan 03  ,Fighting
3938, NBA Street Vol. 2     ,EA Sports BIG   ,EA Canada  ,,8.8  ,,0.54,0.41,0.11,,0.01,28 Apr 03  ,Sports
3939, The Incredible Hulk: Ultimate Destruction     ,VU Games  ,Radical Entertainment  ,,,,0.54,0.26,0.20,,0.07,23 Aug 05  ,Action
3940," Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare     ",Sega  ,Sega  ,,,,0.53,,,0.53,0.00,04 Apr 98  ,Adventure
3941, Rune Factory: A Fantasy Harvest Moon     ,Natsume  ,Neverland Company  ,8.0  ,8.1  ,,0.53,0.35,0.01,0.14,0.03,14 Aug 07  ,Role-Playing
3942, Time Crisis II     ,Namco  ,Namco  ,,,,0.53,0.26,0.20,,0.07,01 Oct 01  ,Shooter
3943, Clock Tower     ,ASCII Entertainment  ,Human Entertainment  ,,6.1  ,,0.53,0.07,0.05,0.38,0.03,30 Sep 97  ,Adventure
3944, Mario Tennis Ultra Smash     ,Nintendo  ,Camelot Software Planning  ,,6.1  ,,0.53,0.16,0.20,0.15,0.03,20 Nov 15  ,Sports
3945, NCAA March Madness 06     ,EA Sports  ,EA Canada  ,,,,0.53,0.45,0.02,,0.07,11 Oct 05  ,Sports
3946, Jampack Volume 11     ,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,,0.53,0.26,0.20,,0.07,22 Oct 04  ,Misc
3947, Dragon Age III: Inquisition     ,Electronic Arts  ,Unknown  ,,,,0.53,0.36,0.12,,0.05,18 Nov 14  ,Misc
3948, G-Force     ,Disney Interactive Studios  ,Keen Games  ,,7.0  ,,0.53,0.26,0.22,,0.05,21 Jul 09  ,Action
3949, Legacy of Kain: Defiance     ,Eidos Interactive  ,Crystal Dynamics  ,,,,0.53,0.26,0.20,,0.07,11 Nov 03  ,Adventure
3950, SpongeBob SquarePants: Game Boy Advance Video Volume 2     ,Majesco  ,Majesco Games  ,,,,0.53,0.38,0.14,,0.01,14 May 04  ,Misc
3951, Hello Kitty: Big City Dreams     ,Empire Interactive  ,"Human Soft, Inc.  ",,,,0.53,0.42,0.07,,0.04,17 Nov 08  ,Adventure
3952, 007 Racing     ,Electronic Arts  ,Eutechnyx  ,,6.1  ,,0.53,0.30,0.20,,0.03,20 Nov 00  ,Racing
3953, NCAA March Madness 2005     ,EA Sports  ,EA Canada  ,,,,0.53,0.44,0.02,,0.07,17 Nov 04  ,Sports
3954, Unit 13     ,Sony Computer Entertainment  ,Zipper Interactive  ,,,,0.53,0.25,0.15,0.04,0.09,06 Mar 12  ,Misc
3955, Conflict: Vietnam     ,Global Star  ,Pivotal Games  ,,,,0.53,0.26,0.20,,0.07,05 Oct 04  ,Shooter
3956, 2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe     ,Sega  ,Sega  ,,,,0.53,0.40,0.11,,0.02,01 Jan 05  ,Misc
3957, Phoenix Wright: Ace Attorney - Justice for All     ,Capcom  ,Capcom  ,,7.6  ,,0.53,0.21,0.04,0.26,0.03,16 Jan 07  ,Action
3958, MLB SlugFest 20-04     ,Midway Games  ,Criterion Games  ,,,,0.53,0.26,0.20,,0.07,16 Mar 03  ,Sports
3959, Gex 3: Deep Cover Gecko     ,Eidos Interactive  ,Crystal Dynamics  ,,,,0.53,0.30,0.20,,0.03,01 Mar 99  ,Platform
