,Name,Platform,Publisher,Chartz_Score,User_Score,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year_of_Release,Genre
53, Gran Turismo     ,Sony Computer Entertainment  ,Polyphony Digital  ,,9.5  ,,10.95,4.02,3.87,2.54,0.52,30 Apr 98  ,Racing
54, Gran Turismo 5     ,Sony Computer Entertainment  ,Polyphony Digital  ,,8.3  ,,10.75,2.96,4.87,0.81,2.10,24 Nov 10  ,Racing
55, Grand Theft Auto IV     ,Rockstar Games  ,Rockstar North  ,9.0  ,10.0  ,9.0  ,10.56,4.78,3.72,0.44,1.62,29 Apr 08  ,
56, Pok�mon FireRed / LeafGreen Version     ,Nintendo  ,Game Freak  ,,8.3  ,,10.49,4.34,2.65,3.15,0.35,07 Sep 04  ,Role-Playing
57, Call of Duty: Ghosts     ,Activision  ,Infinity Ward  ,,6.9  ,,10.41,6.76,2.64,0.04,0.98,05 Nov 13  ,Shooter
58, Just Dance 3     ,Ubisoft  ,Ubisoft Paris  ,,7.5  ,,10.14,5.95,3.13,,1.06,07 Oct 11  ,Misc
59, Uncharted 4: A Thief's End     ,Sony Computer Entertainment  ,Naughty Dog  ,,9.2  ,,10.01,4.36,3.80,0.20,1.65,10 May 16  ,Action
60, Halo 4     ,Microsoft Game Studios  ,343 Industries  ,,,,9.95,6.72,2.36,0.04,0.83,06 Nov 12  ,Shooter
61, Minecraft     ,Microsoft Game Studios  ,4J Studios  ,,,,9.79,5.96,2.92,0.02,0.90,04 Jun 13  ,Misc
62, Gran Turismo 2     ,Sony Computer Entertainment  ,Polyphony Digital  ,,9.2  ,,9.49,3.88,3.42,1.69,0.50,17 Jan 99  ,Racing
63, Call of Duty 4: Modern Warfare     ,Activision  ,Infinity Ward  ,,9.6  ,9.0  ,9.41,5.98,2.40,0.13,0.91,05 Nov 07  ,Shooter
64, Mario Party DS     ,Nintendo  ,Hudson Soft  ,,7.1  ,,8.93,4.40,1.86,1.98,0.69,19 Nov 07  ,Misc
65, Super Mario Odyssey     ,Nintendo  ,Nintendo  ,,9.2  ,,8.81,3.88,2.59,1.72,0.62,27 Oct 17  ,Platform
66, Halo 2     ,Microsoft  ,Bungie Software  ,,9.6  ,,8.49,6.82,1.53,0.05,0.08,09 Nov 04  ,Shooter
67, Mario Party 8     ,Nintendo  ,Hudson Soft  ,,6.5  ,,8.30,3.74,2.27,1.58,0.70,29 May 07  ,Misc
68, Pok�mon Black 2 and White 2     ,Nintendo  ,Game Freak  ,,8.0  ,,8.16,2.79,1.79,3.16,0.43,07 Oct 12  ,Role-Playing
69, Super Smash Bros. for 3DS     ,Nintendo  ,Bandai Namco Games  ,,8.4  ,,8.14,3.59,1.50,2.53,0.52,03 Oct 14  ,Fighting
