0,1,2,3,4
Valve Software  ,GB,Europe,51.44683,-0.06263
Digital Eclipse  ,US,North America,36.916901,-76.488899
Visual Concepts  ,US,North America,32.6008,-117.02629
Maxis  ,AT,Europe,47.64655,15.82764
SCE San Diego Studio  ,US,North America,33.23172,-117.29539
High Impact Games  ,US,North America,42.04026,-93.63287
Argonaut Games  ,PT,Europe,39.46521,-8.43927
HAL Labratory  ,CA,North America,46.59002,-64.92823
Pandemic Studios  ,GB,Europe,51.49718,-0.19355
Black Tusk Studios  ,US,North America,48.27951,-117.26525
Team Soho  ,US,North America,38.13915,-90.57273
Nintendo SPD Group No.1  ,FR,Europe,48.99351,1.79625
Zipper Interactive  ,PH,Asia,14.54836,121.02337
Capcom Production Studio 4  ,AU,Australia,-37.69099,144.59899
id Software  ,GB,Europe,51.50578,-0.08496
Yuke's  ,CA,North America,45.39387,-77.32632
Playground Games  ,NZ,Australia,-37.02818,175.5166
Avalanche Software  ,CA,North America,43.77563,-79.67227
Irem Software Engineering  ,US,North America,39.390897,-99.066067
Iguana Entertainment  ,AU,Australia,-19.25145,146.82775
Eurocom Entertainment Software  ,US,North America,39.390897,-99.066067
The Coalition  ,US,North America,31.80801,-81.6175
The Collective  ,US,North America,39.8539,-84.42962
"Hypnos Entertainment, Inc.  ",US,North America,33.64773,-117.74326
EA Digital Illusions CE  ,CL,South America,-33.57542,-71.61525
Gearbox Software  ,DE,Europe,50.80233,8.76878
Agenda  ,US,North America,39.710785,-97.432243
n-Space  ,US,North America,36.31717,-86.70406
Plato  ,US,North America,37.503593,-92.222956
Remedy Entertainment  ,FR,Europe,44.93858,1.58791
NetherRealm Studios  ,GB,Europe,51.49718,-0.19355
Luxoflux  ,US,North America,39.390897,-99.066067
Black Ops Entertainment  ,GB,Europe,51.30908,-0.58484
"Nd Cube Co., LTD  ",US,North America,37.58536,-81.8211
Dimps Corporation  ,US,North America,31.07431,-88.63086
Respawn Entertainment  ,US,North America,33.64773,-117.74326
EA Sports  ,US,North America,33.22976,-111.72172
Quantic Dream  ,GB,Europe,54.84942,-1.59048
Team Bondi  ,US,North America,28.23852,-97.33155
Shiny Entertainment  ,AU,Australia,-19.25145,146.82775
1st Playable Productions  ,DK,Europe,55.69782,12.42457
LucasArts  ,ES,Europe,36.44333,-5.27352
BioWare Edmonton  ,CA,North America,53.546135,-113.491213
Bandai  ,JP,Asia,37.582411,140.006052
Volition Inc.  ,GB,Europe,55.8635,-4.37894
Junction Point Studios  ,US,North America,38.95362,-84.25459
Spike / Bandai Namco Games  ,PT,Europe,40.68243,-8.47271
Sucker Punch Productions  ,EC,South America,0.63761,-80.04358
From Software  ,IT,Europe,42.12121,12.44931
Sumo Digital  ,AU,Australia,-33.91732,151.19338
Clap Hanz  ,ES,Europe,37.73513,-0.95014
Spark Unlimited  ,GB,Europe,53.58075,-1.50939
BioWare  ,BI,Africa,-3.26628,29.90231
Nintendo IRD  ,BR,South America,-0.71547,-47.69731
Yuke's Future Media Creators  ,GB,Europe,51.18513,-2.53906
BioWare / LucasArts  ,PL,Europe,50.59757,19.60882
Io Interactive  ,US,North America,29.92732,-95.34499
Eidetic  ,MX,North America,17.01029,-92.97504
Codemasters  ,US,North America,39.28579,-93.97109
2K Australia / 2K Boston  ,US,North America,33.441399,-94.419403
Criterion Games  ,BR,South America,-20.67576,-41.01288
Camelot Software Planning  ,US,North America,26.06467,-97.49777
NuFX  ,AR,South America,-31.72149,-60.53755
Artoon  ,FR,Europe,46.69345,1.69818
Visual Impact  ,US,North America,32.499541,-99.744289
Westwood Studios  ,US,North America,34.00256,-118.39723
Cyan Worlds  ,US,North America,36.8522,-79.591103
Virtual Toys / Lexis Num�rique  ,ZA,Africa,-33.70006,19.00967
Toys for Bob  ,TH,Asia,9.53524,100.05676
Edge of Reality  ,CA,North America,55.13967,-120.99579
Namco Bandai Games  ,PT,Europe,40.68243,-8.47271
Hangar 13  ,HU,Europe,46.75624,17.59712
Ghost Games  ,BE,Europe,50.40903,3.83734
Flagship  ,AU,Australia,-16.79926,145.70361
Nintendo Software Technology Corporation  ,US,North America,39.390897,-99.066067
Ensemble Studios  ,FR,Europe,46.19503,6.24537
DC Studios  ,FR,Europe,43.66618,7.19591
8ing/Raizing  ,AU,Australia,-37.80611,144.83193
syn Sophia  ,US,North America,37.707594,-81.257692
"Flagship Co., Ltd. / Nintendo EAD  ",US,North America,46.25988,-87.4738
Probe Entertainment Limited  ,US,North America,33.64773,-117.74326
DreamWorks Interactive  ,US,North America,39.8925,-86.26816
Big Blue Box  ,US,North America,28.39947,-81.50537
Slightly Mad Studios  ,FR,Europe,43.66618,7.19591
Angel Studios  ,MX,North America,19.38618,-99.11547
SCEE Studios Cambridge  ,US,North America,42.365248,-71.105015
Headstrong Games  ,ES,Europe,41.61073,2.13809
Crystal Dynamics  ,ID,Asia,-7.8112,110.40038
Massive Entertainment  ,AU,Australia,-19.25145,146.82775
Raven Software  ,GB,Europe,51.49659,-0.07595
GREZZO  ,US,North America,47.079166,-119.855858
Frontier Developments  ,CA,North America,47.63869,-79.6758
Genius Sonority Inc.  ,US,North America,28.59371,-81.33472
Hitmaker  ,US,North America,39.1043,-84.55206
CAProduction  ,AU,Australia,-37.54276,143.79795
JGI Entertainment  ,US,North America,33.64773,-117.74326
Midway  ,US,North America,38.0275,-78.706703
Black Rock Studio  ,US,North America,35.0825,-108.78197
SingleTrac  ,CA,North America,43.79419,-79.66854
Rainbow Studios  ,PH,Asia,14.46784,120.99195
Atlus Co.  ,US,North America,39.631709,-106.961144
TRY Corporation  ,LS,Africa,-30.27262,27.54503
Yuke's Media Creations  ,US,North America,40.98915,-81.89424
Backbone Entertainment  ,AU,Australia,-19.25145,146.82775
Bullfrog Productions  ,AU,Australia,-36.03809,146.98296
Techland  ,US,North America,34.991,-80.2654
Aki Corp.  ,ES,Europe,40.19913,0.22936
Heavy Iron Studios  ,PE,South America,-13.78574,-73.4743
ArenaNet  ,ES,Europe,38.81165,-0.64792
TOSE  ,US,North America,36.407235,-105.573366
Idol Minds Digital Entertainment  ,BG,Europe,42.70774,23.34246
The Sims Studio  ,US,North America,34.25187,-118.64582
UEP Systems  ,US,North America,43.85858,-121.50123
HAL  ,US,North America,25.827202,-80.281502
EXAKT Entertainment  ,US,North America,33.64773,-117.74326
Dimps Corporation / Sonic Team  ,IT,Europe,40.29194,16.56882
2K Marin  ,IL,Asia,32.81648,34.999371
BioWare Corp.  ,VE,South America,10.59092,-69.33461
Amaze Entertainment  ,US,North America,33.64773,-117.74326
Artificial Mind and Movement  ,GB,Europe,52.95151,-1.14655
Beenox  ,FR,Europe,44.48387,3.53309
Factor 5  ,ES,Europe,40.41586,-3.71263
5TH Cell  ,ZA,Africa,-28.72485,24.70959
Sonic Team/Dimps Corporation  ,US,North America,42.20833,-83.22492
Imagic  ,US,North America,36.12527,-115.28135
Bizarre Creations  ,US,North America,44.16718,-72.48879
EA Seattle  ,US,North America,47.603229,-122.33028
Omega Force  ,US,North America,41.257765,-78.501505
ParityBit  ,AL,Europe,41.35813,19.74939
Matrix Software  ,AU,Australia,-37.59985,144.90851
Endemol  ,NL,Europe,52.16074,6.42558
Bemani  ,CD,Africa,1.68359,30.27701
Yuke's Osaka  ,US,North America,31.06379,-87.223863
Midway Amusement Games  ,GB,Europe,51.37953,-0.40979
Good-Feel  ,ID,Asia,-8.344599,116.051841
Blue Planet Software  ,CA,North America,52.12607,-106.74043
Big Grub  ,US,North America,33.68828,-84.71186
Helixe  ,BZ,North America,17.25051,-88.77266
Monster Games  ,GB,Europe,53.96162,-1.08222
Midway Studios San Diego  ,US,North America,27.766163,-98.24048
High Horse Entertainment  ,US,North America,30.54241,-97.90039
Check Six Games  ,AU,Australia,-34.59856,138.7783
Avalanche Studios  ,ES,Europe,39.49277,-1.28402
"Iwasaki Electronics Co., Ltd.  ",US,North America,43.09814,-76.19188
"HAL Laboratory, Flagship  ",US,North America,34.39902,-83.86881
Hello Games  ,BR,South America,-17.84037,-41.5151
Acquire  ,US,North America,46.90395,-91.98777
Irrational Games  ,US,North America,44.65573,-122.32783
Aki Corporation  ,BR,South America,-21.01121,-50.43391
Art  ,US,North America,30.7383,-99.111099
Sculptured Software  ,US,North America,33.68005,-117.71901
Nintendo�R&D1;  ,DE,Europe,49.00519,11.92915
NanaOn-Sha  ,US,North America,34.164473,-97.4263
EA Bright Light  ,US,North America,36.07,-90.747803
FarSight Studios  ,GB,Europe,51.49718,-0.19355
Inland Productions  ,US,North America,48.05463,-122.77509
Krome Studios  ,US,North America,43.21057,-75.46627
Jellyvision  ,AU,Australia,-28.54506,151.82831
Nintendo R&D1; / Intelligent Systems  ,DE,Europe,49.00519,11.92915
Red Storm Entertainment  ,US,North America,41.23608,-76.31985
Arkane Studios  ,ES,Europe,42.69952,0.8729
Sega-AM2  ,AU,Australia,-37.78838,144.83137
Bandai Namco Games / NOW Production  ,BB,North America,13.17828,-59.63647
